"","Cytophagales_2582580519","Flavobacteriales_2582580526","Flavobacteriales_2582580527","Sphingobacteriales_2582580532","Sphingobacteriales_2582580533","Sphingobacteriales_2582580535","Sphingobacteriales_2582580541","Flavobacteriales_2582580543","Sphingobacteriales_2582580548","Flavobacteriales_2582580549","Sphingobacteriales_2582580563","Flavobacteriales_2582580568","Sphingobacteriia_2582580571","Flavobacteriales_2582580580","Bacteroidetes_2582580582","Sphingobacteriia_2582580583","Sphingobacteriales_2582580585","Bacteroidetes_2582580586","Sphingobacteriales_2582580587","Sphingobacteriales_2582580588","Sphingobacteriales_2582580589","Sphingobacteriales_2582580590","Flavobacteriales_2582580592","Sphingobacteriales_2582580596","Flavobacteriales_2582580597","Bacteroidetes_2582580599","Sphingobacteriales_2582580601","Flavobacteriales_2582580602","Cytophagales_2582580603","Sphingobacteriales_2582580605","Sphingobacteriales_2582580610","Bacteroidetes_2582580613","Sphingobacteriales_2582580614"
"COG0063",1,1,1,0,1,0,1,0,1,1,0,1,0,0,0,1,1,1,0,1,0,0,2,0,0,1,1,0,1,1,1,1,0
"COG0064",1,1,0,1,1,1,1,0,0,0,0,0,1,1,1,1,0,1,0,0,1,0,0,1,0,1,0,0,1,0,0,1,0
"COG0065",0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,3,0,0,2,0,0,0,0,0,1
"COG0066",0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,3,0,0,1,0,0,0,0,0,1
"COG0067",0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"COG0068",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"COG0069",1,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,2,0,0,0,1
"COG0070",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"COG0071",0,1,1,1,2,0,1,0,2,0,0,1,0,0,0,1,0,0,0,1,1,1,1,1,0,1,2,0,1,1,0,0,1
"COG0072",1,1,0,1,0,1,1,1,0,1,0,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,0,0,1,0,1,1
"COG0073",0,1,0,2,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1,2,0,1,1,0,0,1,0,2,0,0,1,0
"COG0074",1,0,1,1,1,1,0,1,1,1,1,0,1,0,1,0,0,0,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1
"COG0075",2,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0
"COG0076",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
"COG0077",0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,2,0,0,0,1
"COG0078",1,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,1
"COG0079",0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,2,0,1,1,0,0,0
"COG0080",1,1,1,0,0,1,0,0,2,1,1,0,1,0,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1
"COG0081",1,1,1,0,0,1,0,0,1,1,1,0,1,0,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1
"COG0082",1,1,1,1,0,1,0,1,1,2,1,1,1,0,1,1,1,0,0,1,1,1,1,1,0,1,0,0,1,1,1,1,1
"COG0083",1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,1,0,0,0,0
"COG0084",0,1,2,2,1,1,1,1,1,2,0,1,1,0,1,1,0,1,0,1,0,0,2,1,1,1,1,1,1,1,1,2,1
"COG0085",0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,1,0,0,1,0,0,1,0,0,1,1,1,0,1
"COG0086",1,1,1,1,0,1,1,0,1,1,1,0,1,0,0,1,0,0,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1
"COG0087",0,1,1,1,1,1,1,0,1,1,1,0,1,0,1,1,0,1,1,1,1,0,0,0,0,1,1,1,1,1,1,0,1
"COG0088",0,1,1,1,1,1,1,0,1,1,1,0,1,0,1,1,0,1,1,1,1,0,0,0,0,1,1,1,1,1,1,0,1
"COG0089",0,1,1,1,1,0,1,0,1,1,1,0,1,0,1,1,0,1,1,1,1,1,0,0,0,1,1,1,1,1,1,0,1
"COG0090",0,1,1,1,1,0,1,0,1,1,1,0,1,0,0,1,0,0,1,1,1,1,0,0,0,1,1,1,1,1,1,0,1
"COG0091",0,1,1,1,1,1,1,0,1,1,1,0,1,0,0,1,0,1,1,1,1,1,0,0,0,1,1,1,1,1,1,0,1
"COG0092",0,1,1,1,1,1,1,0,1,1,1,0,1,0,0,1,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,1
"COG0093",0,1,1,1,1,1,1,1,0,1,1,0,1,1,0,1,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,0
"COG0094",0,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,0,1,1,1,1,0,1,1,0,1,1,1,1,1,1,0,0
"COG0095",0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0
"COG0096",0,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,0,1,1,1,1,0,1,1,0,1,1,1,1,1,1,0,0
"COG0097",0,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,0,1,1,1,1,0,1,1,0,1,1,1,1,1,1,0,0
"COG0098",0,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,0
"COG0099",0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,0,1
"COG0100",0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,0,1
"COG0101",1,2,1,1,0,1,1,1,1,1,1,0,0,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,2,1,1,2,0
"COG0102",1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,0,0,1,1,2,1,1,1,1,1,0,1,1,1,1,1,1
"COG0103",1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,0,0,1,1,2,1,1,1,1,1,0,1,1,1,1,1,1
"COG0104",1,1,1,1,0,1,0,0,1,1,1,1,1,1,1,0,0,1,0,1,1,0,1,1,0,0,1,0,1,1,2,1,1
"COG0105",1,1,1,0,1,0,1,1,0,2,0,1,0,0,1,1,1,1,1,1,2,0,1,1,0,1,1,1,1,1,1,0,1
"COG0106",0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,1,1,0,1,0,0,0,2
"COG0107",0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,2,2,1,0,0,0,0,1,0,4,1,0,2,0,0,0,2
"COG0108",1,1,1,1,0,0,0,1,1,1,1,0,0,1,1,0,1,0,1,1,1,0,1,1,1,1,0,0,1,0,1,1,1
"COG0109",0,1,1,0,1,1,1,0,1,0,0,1,1,1,1,1,0,1,1,1,2,0,1,1,1,1,0,0,0,1,1,1,1
"COG0110",0,0,0,0,0,0,0,1,0,1,0,2,0,0,0,1,1,1,0,2,0,0,2,0,0,1,0,0,1,0,1,2,1
"COG0111",3,1,2,3,0,1,2,2,2,2,0,2,3,3,2,2,2,2,2,2,2,2,2,1,1,1,2,1,1,2,1,2,2
"COG0112",1,1,1,1,0,0,1,1,1,2,1,0,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0
"COG0113",1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
"COG0114",0,1,0,1,1,1,1,1,1,0,1,1,1,1,0,1,0,0,1,1,1,1,0,1,0,1,0,0,1,1,1,1,1
"COG0115",1,2,2,1,3,1,1,2,2,3,2,2,1,0,1,2,2,2,1,2,3,1,2,2,0,1,2,0,1,1,2,2,2
"COG0116",0,1,1,1,1,1,0,1,0,1,1,0,0,0,0,0,1,1,0,0,1,0,1,0,0,1,1,0,1,0,1,1,1
"COG0117",1,1,1,1,1,1,0,0,1,0,1,1,0,0,1,0,1,0,1,1,0,1,1,1,1,1,1,0,0,0,1,1,0
"COG0118",1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,2,2,1,0,0,0,0,1,0,4,1,0,2,0,0,0,2
"COG0119",0,0,0,2,1,1,2,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0,0,2,0,0,0,0,0,2
"COG0120",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"COG0121",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"COG0122",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0
"COG0123",0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,1,1,0,0,0,1,1,0,0,0,0
"COG0124",0,0,1,1,1,1,1,1,1,0,1,1,0,0,1,0,0,1,0,1,1,1,1,0,0,1,0,0,1,1,0,1,1
"COG0125",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"COG0126",0,1,1,1,0,1,1,0,1,1,1,1,0,0,1,0,0,0,0,1,1,0,1,1,0,1,1,0,0,1,1,1,1
"COG0127",2,1,1,1,1,1,1,1,1,1,1,0,0,1,0,1,1,0,0,1,1,1,1,1,1,0,1,1,1,1,2,1,1
"COG0128",1,1,1,1,0,1,0,1,1,1,1,1,1,0,1,1,0,1,1,2,1,1,1,1,0,1,0,0,1,1,1,0,1
"COG0129",1,0,0,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,2,0,0,0,0,0,2
"COG0130",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"COG0131",1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,1,0,1,1,0,1,0,0,0,0
"COG0132",2,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,1,0,1,0,0,0,0
"COG0133",1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2
"COG0134",0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,2
"COG0135",2,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,2,0,1,2
"COG0136",0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,0,1,1,1,1,2,1,1,1,0,1,0,1,1,2
"COG0137",2,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1
"COG0138",1,1,0,0,1,0,1,1,1,1,1,1,1,0,1,1,0,0,0,2,1,2,1,1,1,1,1,1,1,2,1,1,0
"COG0139",0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,1,0,1,1,0,1,0,0,0,2
"COG0140",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"COG0141",0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0
"COG0142",0,2,2,3,1,2,1,2,2,2,2,2,3,1,2,2,2,2,2,2,2,1,1,2,1,2,2,1,2,2,1,0,2
"COG0143",0,1,1,0,1,1,0,2,1,1,1,1,1,0,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0
"COG0144",0,1,1,1,1,1,0,1,1,1,2,1,2,0,2,1,2,2,1,1,3,0,1,1,0,1,2,0,2,2,2,1,2
"COG0145",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
"COG0146",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
"COG0147",1,1,1,1,0,0,1,1,1,0,1,1,1,1,1,1,0,0,0,0,1,0,0,2,0,0,1,0,0,0,1,1,2
"COG0148",1,1,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,0,1,1
"COG0149",0,1,1,1,1,1,0,1,0,1,0,1,1,1,1,1,0,1,0,0,0,0,0,1,1,1,1,0,2,2,2,0,0
"COG0150",1,1,1,1,1,0,0,1,1,1,1,1,0,0,1,0,1,1,0,0,1,0,1,1,0,1,0,0,1,1,1,1,1
"COG0151",1,1,1,0,1,1,1,0,1,1,1,1,1,2,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1
"COG0152",0,1,0,1,1,0,1,0,1,1,1,1,1,0,1,1,1,1,0,0,1,0,1,1,0,1,1,0,0,1,2,1,1
"COG0153",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,0,0,0,1,0,1,0,0,0,0
"COG0154",1,1,0,2,1,2,1,1,1,0,0,0,0,0,1,1,2,1,0,0,1,0,0,3,0,1,1,1,3,0,0,1,2
"COG0155",0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"COG0156",2,3,2,2,2,2,2,2,4,3,2,2,1,2,2,2,1,2,0,2,3,1,2,3,1,3,5,1,3,1,2,1,2
"COG0157",1,1,1,1,1,1,0,0,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,0,0,1,1,1,1,0
"COG0158",0,1,2,1,0,0,0,1,1,1,1,0,1,0,1,1,0,1,0,2,1,1,2,1,1,1,1,0,1,1,1,1,0
"COG0159",1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,2
"COG0160",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"COG0161",0,0,1,0,0,0,0,0,1,2,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
"COG0162",0,1,1,1,1,1,0,2,1,1,0,1,1,1,0,1,0,1,0,1,1,1,1,1,1,1,1,1,2,0,0,1,1
"COG0163",0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,1,2,0,0,1,0,0,1
"COG0164",1,1,1,0,1,1,1,1,1,1,2,1,1,1,1,1,0,2,1,1,1,0,1,0,0,1,0,1,1,1,1,1,1
"COG0165",1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,1
"COG0166",0,1,1,1,1,1,0,1,1,1,0,1,0,0,1,1,1,1,1,0,1,0,1,1,1,0,1,0,2,2,0,1,1
"COG0167",0,1,1,1,1,1,1,1,1,1,2,1,1,0,0,1,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,0,1
"COG0168",0,1,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
"COG0169",1,1,1,1,1,1,2,0,1,1,0,1,1,0,1,1,1,0,1,1,1,0,0,1,0,1,1,1,1,1,1,1,1
"COG0170",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"COG0171",1,1,1,1,1,1,1,0,2,0,1,1,1,0,1,0,0,1,0,1,1,0,1,1,0,1,1,1,1,1,2,1,1
"COG0172",1,1,1,1,1,0,0,1,1,1,1,1,1,1,0,2,1,1,0,1,1,0,1,1,1,1,0,1,1,1,1,0,1
"COG0173",0,1,1,1,1,0,0,1,1,1,1,1,1,1,0,1,0,1,0,0,1,0,0,1,0,1,1,0,1,1,0,0,1
"COG0174",2,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
"COG0175",1,0,0,0,2,2,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,1,0,0,1,0,0
"COG0176",2,2,1,0,0,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,1,1,1,0,1,2,1,0,2,1,1,3,1
"COG0177",1,1,1,1,0,1,1,1,2,1,1,1,1,0,0,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1
"COG0178",0,2,2,3,1,0,2,1,2,2,2,2,2,1,1,2,2,1,0,2,2,0,2,2,1,1,2,1,2,2,2,2,2
"COG0179",0,1,3,2,2,1,2,1,1,2,2,2,1,2,2,0,1,0,1,2,2,2,3,2,0,2,2,1,2,2,1,2,2
"COG0180",1,1,1,0,1,0,1,1,1,1,1,1,1,0,1,1,0,0,0,0,1,1,1,1,1,0,1,1,1,1,1,1,0
"COG0181",1,0,1,0,0,1,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0
"COG0182",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2
