Level1,Level2,Level3,Level4,Level5,Level6,Level7
Biosynthesis,Amines and Polyamines Biosynthesis,trypanothione biosynthesis,,,,
Biosynthesis,Amines and Polyamines Biosynthesis,urate biosynthesis/inosine 5'-phosphate degradation,,,,
Biosynthesis,Amines and Polyamines Biosynthesis,ureide biosynthesis,,,,
Biosynthesis,Amino Acids Biosynthesis,Modification of Amino Acids Within Proteins,diphthamide biosynthesis (archaea),,,
Biosynthesis,Amino Acids Biosynthesis,Modification of Amino Acids Within Proteins,diphthamide biosynthesis (eukaryotes),,,
Biosynthesis,Amino Acids Biosynthesis,Modification of Amino Acids Within Proteins,hypusine biosynthesis,,,
Biosynthesis,Amino Acids Biosynthesis,Other Amino Acid Biosynthesis,beta Alanine Biosynthesis,beta-alanine biosynthesis I,,
Biosynthesis,Amino Acids Biosynthesis,Other Amino Acid Biosynthesis,beta Alanine Biosynthesis,beta-alanine biosynthesis II,,
Biosynthesis,Amino Acids Biosynthesis,Other Amino Acid Biosynthesis,beta Alanine Biosynthesis,beta-alanine biosynthesis III,,
Biosynthesis,Amino Acids Biosynthesis,Other Amino Acid Biosynthesis,beta Alanine Biosynthesis,beta-alanine biosynthesis IV,,
Biosynthesis,Amino Acids Biosynthesis,Other Amino Acid Biosynthesis,beta Alanine Biosynthesis,uracil degradation I (reductive),,
Biosynthesis,Amino Acids Biosynthesis,Other Amino Acid Biosynthesis,L-citrulline Biosynthesis,L-citrulline biosynthesis,,
Biosynthesis,Amino Acids Biosynthesis,Other Amino Acid Biosynthesis,L-citrulline Biosynthesis,protein citrullination,,
Biosynthesis,Amino Acids Biosynthesis,Other Amino Acid Biosynthesis,L-citrulline Biosynthesis,superpathway of L-citrulline metabolism,,
Biosynthesis,Amino Acids Biosynthesis,Other Amino Acid Biosynthesis,L-Ornithine Biosynthesis,L-Ndelta-acetylornithine biosynthesis,,
Biosynthesis,Amino Acids Biosynthesis,Other Amino Acid Biosynthesis,L-Ornithine Biosynthesis,L-ornithine biosynthesis I,,
Biosynthesis,Amino Acids Biosynthesis,Other Amino Acid Biosynthesis,L-Ornithine Biosynthesis,L-ornithine biosynthesis II,,
Biosynthesis,Amino Acids Biosynthesis,Other Amino Acid Biosynthesis,3-hydroxy-L-homotyrosine biosynthesis,,,
Biosynthesis,Amino Acids Biosynthesis,Other Amino Acid Biosynthesis,4-hydroxy-4-methyl-L-glutamate biosynthesis,,,
Biosynthesis,Amino Acids Biosynthesis,Other Amino Acid Biosynthesis,4-methyl-proline biosynthesis,,,
Biosynthesis,Amino Acids Biosynthesis,Other Amino Acid Biosynthesis,D-cycloserine biosynthesis,,,
Biosynthesis,Amino Acids Biosynthesis,Other Amino Acid Biosynthesis,D-serine metabolism,,,
Biosynthesis,Amino Acids Biosynthesis,Other Amino Acid Biosynthesis,L-homocysteine biosynthesis,,,
Biosynthesis,Amino Acids Biosynthesis,Other Amino Acid Biosynthesis,L-homomethionine biosynthesis,,,
Biosynthesis,Amino Acids Biosynthesis,Other Amino Acid Biosynthesis,L-homophenylalanine biosynthesis,,,
Biosynthesis,Amino Acids Biosynthesis,Other Amino Acid Biosynthesis,L-homoserine biosynthesis,,,
Biosynthesis,Amino Acids Biosynthesis,Other Amino Acid Biosynthesis,L-nicotianamine biosynthesis,,,
Biosynthesis,Amino Acids Biosynthesis,Other Amino Acid Biosynthesis,seleno-amino acid biosynthesis,,,
Biosynthesis,Amino Acids Biosynthesis,Other Amino Acid Biosynthesis,superpathway of seleno-compound metabolism,,,
Biosynthesis,Amino Acids Biosynthesis,Proteinogenic Amino Acids Biosynthesis,Glycine Biosynthesis,glycine biosynthesis I,,
Biosynthesis,Amino Acids Biosynthesis,Proteinogenic Amino Acids Biosynthesis,Glycine Biosynthesis,glycine biosynthesis II,,
Biosynthesis,Amino Acids Biosynthesis,Proteinogenic Amino Acids Biosynthesis,Glycine Biosynthesis,glycine biosynthesis III,,
Biosynthesis,Amino Acids Biosynthesis,Proteinogenic Amino Acids Biosynthesis,Glycine Biosynthesis,glycine biosynthesis IV,,
Biosynthesis,Amino Acids Biosynthesis,Proteinogenic Amino Acids Biosynthesis,L-alanine Biosynthesis,L-alanine biosynthesis I,,
Biosynthesis,Amino Acids Biosynthesis,Proteinogenic Amino Acids Biosynthesis,L-alanine Biosynthesis,L-alanine biosynthesis II,,
Biosynthesis,Amino Acids Biosynthesis,Proteinogenic Amino Acids Biosynthesis,L-alanine Biosynthesis,L-alanine biosynthesis III,,
Biosynthesis,Amino Acids Biosynthesis,Proteinogenic Amino Acids Biosynthesis,L-alanine Biosynthesis,superpathway of L-alanine biosynthesis,,
Biosynthesis,Amino Acids Biosynthesis,Proteinogenic Amino Acids Biosynthesis,L-arginine Biosynthesis,L-arginine biosynthesis I (via L-ornithine),,
Biosynthesis,Amino Acids Biosynthesis,Proteinogenic Amino Acids Biosynthesis,L-arginine Biosynthesis,L-arginine biosynthesis II (acetyl cycle),,
Biosynthesis,Amino Acids Biosynthesis,Proteinogenic Amino Acids Biosynthesis,L-arginine Biosynthesis,L-arginine biosynthesis III (via N-acetyl-L-citrulline),,
Biosynthesis,Amino Acids Biosynthesis,Proteinogenic Amino Acids Biosynthesis,L-arginine Biosynthesis,L-arginine biosynthesis IV (archaebacteria),,
Biosynthesis,Amino Acids Biosynthesis,Proteinogenic Amino Acids Biosynthesis,L-arginine Biosynthesis,L-citrulline-nitric oxide cycle,,
Biosynthesis,Amino Acids Biosynthesis,Proteinogenic Amino Acids Biosynthesis,L-asparagine Biosynthesis,cyanide detoxification I,,
Biosynthesis,Amino Acids Biosynthesis,Proteinogenic Amino Acids Biosynthesis,L-asparagine Biosynthesis,L-asparagine biosynthesis I,,
Biosynthesis,Amino Acids Biosynthesis,Proteinogenic Amino Acids Biosynthesis,L-asparagine Biosynthesis,L-asparagine biosynthesis II,,
Biosynthesis,Amino Acids Biosynthesis,Proteinogenic Amino Acids Biosynthesis,L-asparagine Biosynthesis,L-asparagine biosynthesis III (tRNA-dependent),,
Biosynthesis,Amino Acids Biosynthesis,Proteinogenic Amino Acids Biosynthesis,L-asparagine Biosynthesis,superpathway of L-asparagine biosynthesis,,
Biosynthesis,Amino Acids Biosynthesis,Proteinogenic Amino Acids Biosynthesis,L-aspartate Biosynthesis,L-aspartate biosynthesis,,
Biosynthesis,Amino Acids Biosynthesis,Proteinogenic Amino Acids Biosynthesis,L-aspartate Biosynthesis,L-glutamate degradation II,,
Biosynthesis,Amino Acids Biosynthesis,Proteinogenic Amino Acids Biosynthesis,L-cysteine Biosynthesis,L-cysteine biosynthesis I,,
Biosynthesis,Amino Acids Biosynthesis,Proteinogenic Amino Acids Biosynthesis,L-cysteine Biosynthesis,L-cysteine biosynthesis II (tRNA-dependent),,
Biosynthesis,Amino Acids Biosynthesis,Proteinogenic Amino Acids Biosynthesis,L-cysteine Biosynthesis,L-cysteine biosynthesis III (from L-homocysteine),,
Biosynthesis,Amino Acids Biosynthesis,Proteinogenic Amino Acids Biosynthesis,L-cysteine Biosynthesis,L-cysteine biosynthesis IV (fungi),,
Biosynthesis,Amino Acids Biosynthesis,Proteinogenic Amino Acids Biosynthesis,L-cysteine Biosynthesis,L-cysteine biosynthesis V,,
Biosynthesis,Amino Acids Biosynthesis,Proteinogenic Amino Acids Biosynthesis,L-cysteine Biosynthesis,L-homocysteine and L-cysteine interconversion,,
Biosynthesis,Amino Acids Biosynthesis,Proteinogenic Amino Acids Biosynthesis,L-cysteine Biosynthesis,superpathway of L-cysteine biosynthesis (mammalian),,
Biosynthesis,Amino Acids Biosynthesis,Proteinogenic Amino Acids Biosynthesis,L-glutamate Biosynthesis,L-arginine degradation I (arginase pathway),,
Biosynthesis,Amino Acids Biosynthesis,Proteinogenic Amino Acids Biosynthesis,L-glutamate Biosynthesis,L-glutamate and L-glutamine biosynthesis,,
Biosynthesis,Amino Acids Biosynthesis,Proteinogenic Amino Acids Biosynthesis,L-glutamate Biosynthesis,L-glutamate biosynthesis I,,
Biosynthesis,Amino Acids Biosynthesis,Proteinogenic Amino Acids Biosynthesis,L-glutamate Biosynthesis,L-glutamate biosynthesis II,,
Biosynthesis,Amino Acids Biosynthesis,Proteinogenic Amino Acids Biosynthesis,L-glutamate Biosynthesis,L-glutamate biosynthesis III,,
Biosynthesis,Amino Acids Biosynthesis,Proteinogenic Amino Acids Biosynthesis,L-glutamate Biosynthesis,L-glutamate biosynthesis IV,,
Biosynthesis,Amino Acids Biosynthesis,Proteinogenic Amino Acids Biosynthesis,L-glutamate Biosynthesis,L-glutamate biosynthesis V,,
Biosynthesis,Amino Acids Biosynthesis,Proteinogenic Amino Acids Biosynthesis,L-glutamine Biosynthesis,L-glutamate and L-glutamine biosynthesis,,
Biosynthesis,Amino Acids Biosynthesis,Proteinogenic Amino Acids Biosynthesis,L-glutamine Biosynthesis,L-glutamine biosynthesis I,,
Biosynthesis,Amino Acids Biosynthesis,Proteinogenic Amino Acids Biosynthesis,L-glutamine Biosynthesis,L-glutamine biosynthesis III,,
Biosynthesis,Amino Acids Biosynthesis,Proteinogenic Amino Acids Biosynthesis,L-histidine Biosynthesis,imidazole-lactate degradation,,
Biosynthesis,Amino Acids Biosynthesis,Proteinogenic Amino Acids Biosynthesis,L-histidine Biosynthesis,L-histidine biosynthesis,,
Biosynthesis,Amino Acids Biosynthesis,Proteinogenic Amino Acids Biosynthesis,L-isoleucine Biosynthesis,L-isoleucine biosynthesis I (from threonine),,
Biosynthesis,Amino Acids Biosynthesis,Proteinogenic Amino Acids Biosynthesis,L-isoleucine Biosynthesis,L-isoleucine biosynthesis II,,
Biosynthesis,Amino Acids Biosynthesis,Proteinogenic Amino Acids Biosynthesis,L-isoleucine Biosynthesis,L-isoleucine biosynthesis III,,
Biosynthesis,Amino Acids Biosynthesis,Proteinogenic Amino Acids Biosynthesis,L-isoleucine Biosynthesis,L-isoleucine biosynthesis IV,,
Biosynthesis,Amino Acids Biosynthesis,Proteinogenic Amino Acids Biosynthesis,L-isoleucine Biosynthesis,L-isoleucine biosynthesis V,,
Biosynthesis,Amino Acids Biosynthesis,Proteinogenic Amino Acids Biosynthesis,L-isoleucine Biosynthesis,superpathway of L-isoleucine biosynthesis I,,
Biosynthesis,Amino Acids Biosynthesis,Proteinogenic Amino Acids Biosynthesis,L-leucine Biosynthesis,L-leucine biosynthesis,,
Biosynthesis,Amino Acids Biosynthesis,Proteinogenic Amino Acids Biosynthesis,L-lysine Biosynthesis,L-lysine biosynthesis I,,
Biosynthesis,Amino Acids Biosynthesis,Proteinogenic Amino Acids Biosynthesis,L-lysine Biosynthesis,L-lysine biosynthesis II,,
Biosynthesis,Amino Acids Biosynthesis,Proteinogenic Amino Acids Biosynthesis,L-lysine Biosynthesis,L-lysine biosynthesis III,,
Biosynthesis,Amino Acids Biosynthesis,Proteinogenic Amino Acids Biosynthesis,L-lysine Biosynthesis,L-lysine biosynthesis IV,,
Biosynthesis,Amino Acids Biosynthesis,Proteinogenic Amino Acids Biosynthesis,L-lysine Biosynthesis,L-lysine biosynthesis V,,
Biosynthesis,Amino Acids Biosynthesis,Proteinogenic Amino Acids Biosynthesis,L-lysine Biosynthesis,L-lysine biosynthesis VI,,
Biosynthesis,Amino Acids Biosynthesis,Proteinogenic Amino Acids Biosynthesis,L-methionine Biosynthesis,L-methionine De Novo Biosynthesis,L-homoserine and L-methionine biosynthesis,
Biosynthesis,Amino Acids Biosynthesis,Proteinogenic Amino Acids Biosynthesis,L-methionine Biosynthesis,L-methionine De Novo Biosynthesis,L-methionine biosynthesis I,
Biosynthesis,Amino Acids Biosynthesis,Proteinogenic Amino Acids Biosynthesis,L-methionine Biosynthesis,L-methionine De Novo Biosynthesis,L-methionine biosynthesis II,
Biosynthesis,Amino Acids Biosynthesis,Proteinogenic Amino Acids Biosynthesis,L-methionine Biosynthesis,L-methionine De Novo Biosynthesis,L-methionine biosynthesis III,
Biosynthesis,Amino Acids Biosynthesis,Proteinogenic Amino Acids Biosynthesis,L-methionine Biosynthesis,L-methionine De Novo Biosynthesis,superpathway of L-methionine biosynthesis (by sulfhydrylation),
Biosynthesis,Amino Acids Biosynthesis,Proteinogenic Amino Acids Biosynthesis,L-methionine Biosynthesis,L-methionine De Novo Biosynthesis,superpathway of L-methionine biosynthesis (transsulfuration),
Biosynthesis,Amino Acids Biosynthesis,Proteinogenic Amino Acids Biosynthesis,L-methionine Biosynthesis,L-methionine Salvage,S-adenosyl-L-methionine cycle (2 instances),
Biosynthesis,Amino Acids Biosynthesis,Proteinogenic Amino Acids Biosynthesis,L-methionine Biosynthesis,L-methionine Salvage,,S-adenosyl-L-methionine cycle I
Biosynthesis,Amino Acids Biosynthesis,Proteinogenic Amino Acids Biosynthesis,L-methionine Biosynthesis,L-methionine Salvage,,S-adenosyl-L-methionine cycle II
Biosynthesis,Amino Acids Biosynthesis,Proteinogenic Amino Acids Biosynthesis,L-methionine Biosynthesis,L-methionine Salvage,S-methyl-5-thio-alpha-D-ribose 1-phosphate degradation (2 instances),
Biosynthesis,Amino Acids Biosynthesis,Proteinogenic Amino Acids Biosynthesis,L-methionine Biosynthesis,L-methionine Salvage,,S-methyl-5-thio-alpha-D-ribose 1-phosphate degradation
Biosynthesis,Amino Acids Biosynthesis,Proteinogenic Amino Acids Biosynthesis,L-methionine Biosynthesis,L-methionine Salvage,,S-methyl-5-thio-alpha-D-ribose 1-phosphate degradation II
Biosynthesis,Amino Acids Biosynthesis,Proteinogenic Amino Acids Biosynthesis,L-methionine Biosynthesis,L-methionine Salvage,L-methionine salvage cycle I (bacteria and plants),
Biosynthesis,Amino Acids Biosynthesis,Proteinogenic Amino Acids Biosynthesis,L-methionine Biosynthesis,L-methionine Salvage,L-methionine salvage cycle II (plants),
Biosynthesis,Amino Acids Biosynthesis,Proteinogenic Amino Acids Biosynthesis,L-methionine Biosynthesis,L-methionine Salvage,L-methionine salvage cycle III,
Biosynthesis,Amino Acids Biosynthesis,Proteinogenic Amino Acids Biosynthesis,L-methionine Biosynthesis,L-methionine Salvage,L-methionine salvage from L-homocysteine,
Biosynthesis,Amino Acids Biosynthesis,Proteinogenic Amino Acids Biosynthesis,L-methionine Biosynthesis,L-methionine Salvage,S-methyl-L-methionine cycle,
Biosynthesis,Amino Acids Biosynthesis,Proteinogenic Amino Acids Biosynthesis,L-phenylalanine Biosynthesis,L-phenylalanine biosynthesis I,,
Biosynthesis,Amino Acids Biosynthesis,Proteinogenic Amino Acids Biosynthesis,L-phenylalanine Biosynthesis,L-phenylalanine biosynthesis II,,
Biosynthesis,Amino Acids Biosynthesis,Proteinogenic Amino Acids Biosynthesis,L-phenylalanine Biosynthesis,"L-phenylalanine biosynthesis III (cytosolic, plants)",,
Biosynthesis,Amino Acids Biosynthesis,Proteinogenic Amino Acids Biosynthesis,L-phenylalanine Biosynthesis,superpathway of L-phenylalanine biosynthesis,,
Biosynthesis,Amino Acids Biosynthesis,Proteinogenic Amino Acids Biosynthesis,L-proline Biosynthesis,L-arginine degradation VI (arginase 2 pathway),,
Biosynthesis,Amino Acids Biosynthesis,Proteinogenic Amino Acids Biosynthesis,L-proline Biosynthesis,L-ornithine degradation I (L-proline biosynthesis),,
Biosynthesis,Amino Acids Biosynthesis,Proteinogenic Amino Acids Biosynthesis,L-proline Biosynthesis,L-proline biosynthesis I,,
Biosynthesis,Amino Acids Biosynthesis,Proteinogenic Amino Acids Biosynthesis,L-proline Biosynthesis,L-proline biosynthesis II (from arginine),,
Biosynthesis,Amino Acids Biosynthesis,Proteinogenic Amino Acids Biosynthesis,L-proline Biosynthesis,L-proline biosynthesis III,,
Biosynthesis,Amino Acids Biosynthesis,Proteinogenic Amino Acids Biosynthesis,L-proline Biosynthesis,L-proline biosynthesis IV,,
Biosynthesis,Amino Acids Biosynthesis,Proteinogenic Amino Acids Biosynthesis,L-pyrrolysine Biosynthesis,L-pyrrolysine biosynthesis,,
Biosynthesis,Amino Acids Biosynthesis,Proteinogenic Amino Acids Biosynthesis,L-selenocysteine Biosynthesis,L-selenocysteine biosynthesis I (bacteria),,
Biosynthesis,Amino Acids Biosynthesis,Proteinogenic Amino Acids Biosynthesis,L-selenocysteine Biosynthesis,L-selenocysteine biosynthesis II (archaea and eukaryotes),,
Biosynthesis,Amino Acids Biosynthesis,Proteinogenic Amino Acids Biosynthesis,L-serine Biosynthesis,L-serine biosynthesis,,
Biosynthesis,Amino Acids Biosynthesis,Proteinogenic Amino Acids Biosynthesis,L-threonine Biosynthesis,L-threonine biosynthesis,,
Biosynthesis,Amino Acids Biosynthesis,Proteinogenic Amino Acids Biosynthesis,L-threonine Biosynthesis,superpathway of L-threonine biosynthesis,,
Biosynthesis,Amino Acids Biosynthesis,Proteinogenic Amino Acids Biosynthesis,L-typtophan Biosynthesis,L-tryptophan biosynthesis,,
Biosynthesis,Amino Acids Biosynthesis,Proteinogenic Amino Acids Biosynthesis,L-typtophan Biosynthesis,superpathway of L-tryptophan biosynthesis,,
Biosynthesis,Amino Acids Biosynthesis,Proteinogenic Amino Acids Biosynthesis,L-tyrosine Biosynthesis,L-tyrosine biosynthesis I,,
Biosynthesis,Amino Acids Biosynthesis,Proteinogenic Amino Acids Biosynthesis,L-tyrosine Biosynthesis,L-tyrosine biosynthesis II,,
Biosynthesis,Amino Acids Biosynthesis,Proteinogenic Amino Acids Biosynthesis,L-tyrosine Biosynthesis,L-tyrosine biosynthesis III,,
Biosynthesis,Amino Acids Biosynthesis,Proteinogenic Amino Acids Biosynthesis,L-tyrosine Biosynthesis,L-tyrosine biosynthesis IV,,
Biosynthesis,Amino Acids Biosynthesis,Proteinogenic Amino Acids Biosynthesis,L-tyrosine Biosynthesis,superpathway of L-tyrosine biosynthesis,,
Biosynthesis,Amino Acids Biosynthesis,Proteinogenic Amino Acids Biosynthesis,L-valine Biosynthesis,L-valine biosynthesis,,
Biosynthesis,Amino Acids Biosynthesis,superpathway of aromatic amino acid biosynthesis,,,,
Biosynthesis,Amino Acids Biosynthesis,superpathway of branched chain amino acid biosynthesis,,,,
Biosynthesis,Amino Acids Biosynthesis,superpathway of L-aspartate and L-asparagine biosynthesis,,,,
Biosynthesis,Amino Acids Biosynthesis,"superpathway of L-lysine, L-threonine and L-methionine biosynthesis I",,,,
Biosynthesis,Amino Acids Biosynthesis,"superpathway of L-lysine, L-threonine and L-methionine biosynthesis II",,,,
Biosynthesis,Amino Acids Biosynthesis,superpathway of L-phenylalanine and L-tyrosine biosynthesis,,,,
Biosynthesis,Amino Acids Biosynthesis,superpathway of L-serine and glycine biosynthesis I,,,,
Biosynthesis,Amino Acids Biosynthesis,superpathway of sulfur amino acid biosynthesis (Saccharomyces cerevisiae),,,,
Biosynthesis,Aminoacyl-tRNA Charging,glutaminyl-tRNAgln biosynthesis via transamidation,,,,
Biosynthesis,Aminoacyl-tRNA Charging,L-asparagine biosynthesis III (tRNA-dependent),,,,
Biosynthesis,Aminoacyl-tRNA Charging,L-cysteine biosynthesis II (tRNA-dependent),,,,
Biosynthesis,Aminoacyl-tRNA Charging,tRNA charging,,,,
Biosynthesis,Aromatic Compounds Biosynthesis,3-Dehydroquinate Biosynthesis,3-dehydroquinate biosynthesis I,,,
Biosynthesis,Aromatic Compounds Biosynthesis,3-Dehydroquinate Biosynthesis,3-dehydroquinate biosynthesis II (archaea),,,
Biosynthesis,Aromatic Compounds Biosynthesis,4-Hydroxybenzoate Biosynthesis,,,,
Biosynthesis,Aromatic Compounds Biosynthesis,4-Hydroxybenzoate Biosynthesis,4-hydroxybenzoate biosynthesis I (eukaryotes),,,
Biosynthesis,Aromatic Compounds Biosynthesis,4-Hydroxybenzoate Biosynthesis,4-hydroxybenzoate biosynthesis II (microbes),,,
Biosynthesis,Aromatic Compounds Biosynthesis,4-Hydroxybenzoate Biosynthesis,4-hydroxybenzoate biosynthesis IV,,,
Biosynthesis,Aromatic Compounds Biosynthesis,4-Hydroxybenzoate Biosynthesis,4-hydroxybenzoate biosynthesis V,,,
Biosynthesis,Aromatic Compounds Biosynthesis,4-Hydroxybenzoate Biosynthesis,superpathway of 4-hydroxybenzoate biosynthesis (yeast),,,
Biosynthesis,Aromatic Compounds Biosynthesis,Chorismate Biosynthesis),,,,
Biosynthesis,Aromatic Compounds Biosynthesis,Chorismate Biosynthesis),chorismate biosynthesis from 3-dehydroquinate,,,
Biosynthesis,Aromatic Compounds Biosynthesis,Chorismate Biosynthesis),chorismate biosynthesis I,,,
Biosynthesis,Aromatic Compounds Biosynthesis,Chorismate Biosynthesis),chorismate biosynthesis II (archaea),,,
Biosynthesis,Aromatic Compounds Biosynthesis,"1,3,5-trimethoxybenzene biosynthesis",,,,
Biosynthesis,Aromatic Compounds Biosynthesis,"2,3-dihydroxybenzoate biosynthesis",,,,
Biosynthesis,Aromatic Compounds Biosynthesis,"3,5-dimethoxytoluene biosynthesis",,,,
Biosynthesis,Aromatic Compounds Biosynthesis,3-dimethylallyl-4-hydroxybenzoate biosynthesis,,,,
