"","x"
"87","thiamine salvage III"
"88","pentose phosphate pathway (partial)"
"89","long-chain fatty acid activation"
"90","citrate degradation"
"91","pyruvate decarboxylation to acetyl CoA"
"92","ethanol degradation IV"
"93","geranyl diphosphate biosynthesis"
"94","trans, trans-farnesyl diphosphate biosynthesis"
"95","glycine biosynthesis I"
"96","flavin biosynthesis I (bacteria and plants)"
"97","S-adenosyl-L-methionine biosynthesis"
"98","pyrimidine ribonucleosides salvage I"
"99","acyl carrier protein activation"
"100","methylsalicylate degradation"
"101","salicylate degradation I"
"102","chlorophyll a biosynthesis I"
"103","glyoxylate cycle"
"104","flavin biosynthesis IV (mammalian)"
"105","anhydromuropeptides recycling"
"106","L-serine biosynthesis"
"107","acetaldehyde biosynthesis I"
"108","folate polyglutamylation"
"109","formate assimilation into 5,10-methylenetetrahydrofolate"
"110","urea degradation II"
"111","phytyl diphosphate biosynthesis"
"112","tetrahydrofolate salvage from 5,10-methenyltetrahydrofolate"
"113","ethanol degradation II"
"114","S-adenosyl-L-methionine cycle II"
"115","NAD phosphorylation and dephosphorylation"
"116","fluoroacetate degradation"
"117","taurine degradation IV"
"118","L-alanine degradation I"
"119","cyclopropane fatty acid (CFA) biosynthesis"
"120","L-isoleucine biosynthesis IV"
"121","GDP-L-fucose biosynthesis I (from GDP-D-mannose)"
"122","L-leucine biosynthesis"
"123","S-methyl-5-thioadenosine degradation II"
"124","formaldehyde oxidation II (glutathione-dependent)"
"125","D-mannose degradation"
"126","L-methionine degradation I (to L-homocysteine)"
"127","pyrimidine nucleobases salvage I"
"128","spermidine biosynthesis I"
"129","dTDP-4-O-demethyl-beta-L-noviose biosynthesis"
"130","dTDP-L-rhamnose biosynthesis I"
"131","acyl-CoA hydrolysis"
"132","glycine biosynthesis IV"
"133","L-threonine biosynthesis"
"134","heme biosynthesis II (anaerobic)"
"135","L-glutamate biosynthesis V"
"136","tetrapyrrole biosynthesis I (from glutamate)"
"137","canavanine biosynthesis"
"138","urea cycle"
"139","adenosylcobalamin salvage from cobalamin"
"140","geranylgeranyl diphosphate biosynthesis"
"141","L-asparagine degradation I"
"142","4-hydroxybenzoate biosynthesis II (microbes)"
"143","queuosine biosynthesis"
"144","cyanophycin metabolism"
"145","nonaprenyl diphosphate biosynthesis I"
"146","nonaprenyl diphosphate biosynthesis II"
"147","Calvin-Benson-Bassham cycle"
"148","L-citrulline biosynthesis"
"149","glutathione biosynthesis"
"150","L-asparagine biosynthesis III (tRNA-dependent)"
"151","adenosine deoxyribonucleotides de novo biosynthesis II"
"152","1,4-dihydroxy-2-naphthoate biosynthesis"
"153","guanosine deoxyribonucleotides de novo biosynthesis II"
"154","L-lysine biosynthesis VI"
"155","D-sorbitol degradation I"
"156","sucrose biosynthesis II"
"157","sucrose biosynthesis III"
"158","sucrose degradation III (sucrose invertase)"
"159","tRNA processing"
"160","phosphate acquisition"
"161","adenosylcobalamin salvage from cobinamide I"
"162","photorespiration"
"163","vitamin E biosynthesis (tocopherols)"
"164","L-arginine degradation III (arginine decarboxylase/agmatinase pathway)"
"165","putrescine biosynthesis I"
"166","biotin biosynthesis from 8-amino-7-oxononanoate I"
"167","tetrahydrobiopterin biosynthesis I"
"168","alkane biosynthesis II"
"169","N<sup>10</sup>-formyl-tetrahydrofolate biosynthesis"
"170","CDP-diacylglycerol biosynthesis I"
"171","CDP-diacylglycerol biosynthesis II"
"172","UDP-N-acetylmuramoyl-pentapeptide biosynthesis I (meso-diaminopimelate containing)"
"173","nitrogen fixation I (ferredoxin)"
"174","chlorophyllide a biosynthesis III (aerobic, light independent)"
"175","heme degradation"
"176","lipid IVA biosynthesis"
"177","glycine cleavage"
"178","demethylmenaquinol-8 biosynthesis I"
"179","menaquinol-12 biosynthesis"
"180","demethylmenaquinol-6 biosynthesis I"
"181","demethylmenaquinol-9 biosynthesis"
"182","menaquinol-11 biosynthesis"
"183","menaquinol-13 biosynthesis"
"184","menaquinol-7 biosynthesis"
"185","menaquinol-10 biosynthesis"
"186","L-alanine biosynthesis I"
"187","biotin-carboxyl carrier protein assembly"
"188","phycocyanobilin biosynthesis"
"189","tetrahydrofolate biosynthesis"
"190","UMP biosynthesis"
"191","glutathionylspermidine biosynthesis"
"192","glycolysis I (from glucose 6-phosphate)"
"193","gluconeogenesis I"
"194","chorismate biosynthesis from 3-dehydroquinate"
"195","di-trans,poly-cis-undecaprenyl phosphate biosynthesis"
"196","Rubisco shunt"
"197","glycolysis III (from glucose)"
"198","sucrose degradation I (sucrose phosphotransferase)"
"199","L-cysteine biosynthesis I"
"200","sulfate activation for sulfonation"
"201","stearate biosynthesis II (bacteria and plants)"
"202","6-hydroxymethyl-dihydropterin diphosphate biosynthesis I"
"203","phosphopantothenate biosynthesis I"
"204","photosynthesis light reactions"
"205","Entner-Doudoroff pathway III (semi-phosphorylative)"
"206","pentose phosphate pathway (non-oxidative branch)"
"207","oleate biosynthesis I (plants)"
"208","2-oxoisovalerate decarboxylation to isobutanoyl-CoA"
"209","NAD biosynthesis from 2-amino-3-carboxymuconate semialdehyde"
"210","L-homocysteine biosynthesis"
"211","adenosine nucleotides degradation III"
"212","NAD/NADH phosphorylation and dephosphorylation"
"213","L-threonine degradation II"
"214","L-rhamnose degradation I"
"215","4-hydroxyphenylpyruvate biosynthesis"
"216","pyrimidine deoxyribonucleotides de novo biosynthesis I"
"217","D-galactose degradation V (Leloir pathway)"
"218","ADP-L-glycero-beta-D-manno-heptose biosynthesis"
"219","L-proline biosynthesis III"
"220","pyrimidine deoxyribonucleotides biosynthesis from CTP"
"221","L-phenylalanine degradation V"
"222","L-tyrosine biosynthesis I"
"223","ammonia assimilation cycle II"
"224","L-arginine biosynthesis III (via N-acetyl-L-citrulline)"
"225","melibiose degradation"
"226","NAD phosphorylation and transhydrogenation"
"227","pyrimidine deoxyribonucleotides de novo biosynthesis IV"
"228","N-acetylneuraminate and N-acetylmannosamine degradation II"
"229","glucose and glucose-1-phosphate degradation"
"230","fatty acid alpha-oxidation II"
"231","beta-1,4-D-mannosyl-N-acetyl-D-glucosamine degradation"
"232","siroheme biosynthesis"
"233","superoxide radicals degradation"
"234","D-galacturonate degradation I"
"235","myo-inositol biosynthesis"
"236","xylose degradation I"
"237","stachyose degradation"
"238","D-galactose degradation III"
"239","pyridoxal 5-phosphate biosynthesis I"
"240","glycolysis IV (plant cytosol)"
"241","L-ornithine degradation I (L-proline biosynthesis)"
"242","arsenate detoxification II (glutaredoxin)"
"243","L-leucine degradation III"
"244","L-isoleucine degradation II"
"245","guanine and guanosine salvage"
"246","GDP-mannose biosynthesis"
"247","gluconeogenesis III"
"248","pyrimidine deoxyribonucleosides degradation"
"249","urea degradation I"
"250","trans-4-hydroxy-L-proline degradation II"
"251","L-methionine biosynthesis I"
"252","D-gluconate degradation"
"253","L-arginine degradation IV (arginine decarboxylase/agmatine deiminase pathway)"
"254","ethanol degradation I"
"255","L-glutamate biosynthesis I"
"256","L-glutamine degradation II"
"257","sulfolactate degradation III"
"258","phosphatidylethanolamine biosynthesis I"
"259","hypusine biosynthesis"
"260","fatty acid beta-oxidation I"
"261","L-glutamate degradation X"
"262","L-glutamate biosynthesis II"
"263","pyrimidine ribonucleosides degradation"
"264","L-phenylalanine biosynthesis I"
"265","UDP-N-acetylmuramoyl-pentapeptide biosynthesis II (lysine-containing)"
"266","purine ribonucleosides degradation"
"267","sorbitol biosynthesis II"
"268","D-glucarate degradation II"
"269","spermidine biosynthesis II"
"270","norspermidine biosynthesis"
"271","TCA cycle VIII (helicobacter)"
"272","4-aminobenzoate biosynthesis"
"273","methylglyoxal degradation I"
"274","nitrate reduction II (assimilatory)"
"275","cob(II)yrinate a,c-diamide biosynthesis II (late cobalt incorporation)"
"276","seleno-amino acid biosynthesis"
"277","starch degradation III"
"278","hydroxymethylpyrimidine salvage"
"279","phosphonoacetate degradation"
"280","ketolysis"
"281","L-arginine degradation VI (arginase 2 pathway)"
"282","lipoate biosynthesis and incorporation I"
"283","L-asparagine degradation III (mammalian)"
"284","starch degradation V"
"285","glycogen degradation II"
"286","acrylonitrile degradation II"
"287","L-methionine salvage from L-homocysteine"
"288","guanosine nucleotides degradation III"
"289","urate biosynthesis/inosine 5-phosphate degradation"
"290","5-aminoimidazole ribonucleotide biosynthesis I"
"291","NAD biosynthesis III"
"292","fructose degradation"
"293","TCA cycle II (plants and fungi)"
"294","sulfite oxidation IV"
"295","heterolactic fermentation"
"296","cellulose biosynthesis"
"297","succinate to cytochrome bd oxidase electron transfer"
"298","two-component alkanesulfonate monooxygenase"
"299","glutathione-peroxide redox reactions"
"300","heme biosynthesis I (aerobic)"
"301","zeaxanthin-beta-D-diglucoside biosynthesis"
"302","beta-carotene biosynthesis"
"303","thiamine formation from pyrithiamine and oxythiamine (yeast)"
"304","adenosylcobalamin biosynthesis from cobyrinate a,c-diamide I"
"305","adenosylcobalamin biosynthesis from cobyrinate a,c-diamide II"
"306","L-tyrosine biosynthesis III"
"307","guanosine nucleotides degradation II"
"308","chlorophyllide a biosynthesis I (aerobic, light-dependent)"
"309","acetate formation from acetyl-CoA I"
"310","glycerol degradation I"
"311","D-fructuronate degradation"
"312","taxiphyllin bioactivation"
"313","chitin degradation II"
"314","octane oxidation"
"315","cellulose degradation II (fungi)"
"316","neolinustatin bioactivation"
"317","glycerophosphodiester degradation"
"318","L-histidine degradation I"
"319","TCA cycle V (2-oxoglutarate:ferredoxin oxidoreductase)"
"320","methylglyoxal degradation V"
"321","gamma-linolenate biosynthesis II (animals)"
"322","L-lysine biosynthesis I"
"323","histamine biosynthesis"
"324","pyrimidine deoxyribonucleotides de novo biosynthesis II"
"325","adenine salvage"
"326","L-tyrosine degradation I"
"327","purine deoxyribonucleosides salvage"
"328","acyl carrier protein metabolism"
"329","methyl parathion degradation"
"330","paraoxon degradation"
"331","cytidylyl molybdenum cofactor biosynthesis"
"332","phytochelatins biosynthesis"
"333","noradrenaline and adrenaline degradation"
"334","L-tyrosine biosynthesis IV"
"335","fatty acid beta-oxidation III (unsaturated, odd number)"
"336","CDP-4-dehydro-3,6-dideoxy-D-glucose biosynthesis"
"337","oleate biosynthesis III (cyanobacteria)"
"338","hydrogen production III"
"339","6-hydroxymethyl-dihydropterin diphosphate biosynthesis III (Chlamydia)"
"340","nitrate reduction VI (assimilatory)"
"341","hydrogen production VIII"
"342","guanylyl molybdenum cofactor biosynthesis"
"343","L-ornithine biosynthesis II"
"344","acetoin degradation"
"345","cyanurate degradation"
"346","oligomeric urushiol biosynthesis"
"347","D-galactarate degradation I"
"348","preQ0 biosynthesis"
"349","coenzyme A biosynthesis II (mammalian)"
"350","L-arginine degradation VII (arginase 3 pathway)"
"351","4-amino-2-methyl-5-diphosphomethylpyrimidine biosynthesis"
"352","beta-alanine degradation II"
"353","L-leucine degradation I"
"354","formaldehyde assimilation II (RuMP Cycle)"
"355","glycolate and glyoxylate degradation II"
"356","methanol oxidation to formaldehyde I"
"357","pyridoxal 5-phosphate salvage II (plants)"
"358","C4 photosynthetic carbon assimilation cycle, NADP-ME type"
"359","2-methylcitrate cycle I"
"360","guanine and guanosine salvage II"
"361","C4 photosynthetic carbon assimilation cycle, PEPCK type"
"362","chitin degradation to ethanol"
"363","jasmonic acid biosynthesis"
"364","aerobic respiration I (cytochrome c)"
"365","putrescine biosynthesis III"
"366","4-hydroxybenzoate biosynthesis V"
"367","pyruvate fermentation to ethanol II"
"368","thio-molybdenum cofactor biosynthesis"
"369","acetaldehyde biosynthesis II"
"370","L-histidine degradation III"
"371","L-glutamate biosynthesis III"
"372","L-tryptophan degradation to 2-amino-3-carboxymuconate semialdehyde"
"373","glutaryl-CoA degradation"
"374","adenosine nucleotides degradation I"
"375","L-proline degradation"
"376","L-tryptophan degradation I (via anthranilate)"
"377","propanoyl CoA degradation I"
"378","hydroxycinnamic acid tyramine amides biosynthesis"
"379","sophorosyloxydocosanoate deacetylation"
"380","UDP-glucose biosynthesis"
"381","L-arginine degradation I (arginase pathway)"
"382","maltose degradation"
"383","CMP-N-acetylneuraminate biosynthesis II (bacteria)"
"384","adenine and adenosine salvage VI"
"385","TCA cycle IV (2-oxoglutarate decarboxylase)"
"386","beta-alanine degradation I"
"387","L-arabinose degradation I"
"388","myo-inositol degradation I"
"389","volatile esters biosynthesis (during fruit ripening)"
"390","hydrogen to fumarate electron transfer"
"391","CDP-abequose biosynthesis"
"392","L-glutamate degradation II"
"393","2,3-dihydroxybenzoate biosynthesis"
"394","mixed acid fermentation"
"395","reductive TCA cycle II"
"396","glycerol-3-phosphate to fumarate electron transfer"
"397","pyruvate fermentation to butanol I"
"398","glycine betaine biosynthesis I (Gram-negative bacteria)"
"399","choline degradation I"
"400","hydrogen oxidation I (aerobic)"
"401","ubiquinol-8 biosynthesis (prokaryotic)"
"402","hydrogen to dimethyl sulfoxide electron transfer"
"403","acetate formation from acetyl-CoA II"
"404","sulfide oxidation II (sulfide dehydrogenase)"
"405","sulfite oxidation III"
"406","heptaprenyl diphosphate biosynthesis"
"407","phosphopantothenate biosynthesis III"
"408","incomplete reductive TCA cycle"
"409","coenzyme A biosynthesis I"
"410","NADH to cytochrome bd oxidase electron transfer I"
"411","methanogenesis from H2 and CO2"
"412","aerobic respiration III (alternative oxidase pathway)"
"413","gondoate biosynthesis (anaerobic)"
"414","ubiquinol-8 biosynthesis (eukaryotic)"
"415","formaldehyde oxidation I"
"416","mevalonate pathway I"
"417","indole-3-acetate activation I"
"418","(Kdo)2-lipid A biosynthesis I"
"419","thymine degradation"
"420","uracil degradation I (reductive)"
"421","ketogenesis"
"422","methane oxidation to methanol I"
"423","spermine biosynthesis"
"424","protein citrullination"
"425","acyl-ACP thioesterase pathway"
"426","thyroid hormone metabolism II (via conjugation and/or degradation)"
"427","2-amino-3-carboxymuconate semialdehyde degradation to 2-oxopentenoate"
"428","2-oxopentenoate degradation"
"429","phosphatidylinositol biosynthesis II (eukaryotes)"
"430","L-malate degradation II"
"431","glycine betaine biosynthesis III (plants)"
"432","S-methyl-5-thioadenosine degradation IV"
"433","quinate degradation II"
"434","pyrimidine deoxyribonucleotides dephosphorylation"
"435","L-isoleucine biosynthesis II"
"436","CDP-diacylglycerol biosynthesis III"
"437","arachidonate biosynthesis II (bacteria)"
"438","phosphatidylcholine biosynthesis V"
"439","adenine and adenosine salvage I"
"440","pyruvate fermentation to acetate II"
"441","D-galactose degradation I (Leloir pathway)"
"442","UDP-D-galacturonate biosynthesis I (from UDP-D-glucuronate)"
"443","L-idonate degradation"
"444","Kdo transfer to lipid IVA I"
"445","alkylnitronates degradation"
"446","succinate to cytochrome bo oxidase electron transfer"
"447","proline to cytochrome bo oxidase electron transfer"
"448","sulfide oxidation I (sulfide-quinone reductase)"
"449","creatinine degradation II"
"450","folate transformations II"
"451","glycolate and glyoxylate degradation I"
"452","benzoate degradation II (aerobic and anaerobic)"
"453","xanthine and xanthosine salvage"
"454","trehalose biosynthesis IV"
"455","sucrose degradation IV (sucrose phosphorylase)"
"456","NAD salvage pathway III"
"457","palmitate biosynthesis I (animals and fungi)"
"458","D-galactarate degradation II"
"459","lanosterol biosynthesis"
"460","epoxysqualene biosynthesis"
"461","formaldehyde assimilation I (serine pathway)"
"462","tetrapyrrole biosynthesis II (from glycine)"
"463","oxalate degradation II"
"464","NADH to cytochrome bo oxidase electron transfer I"
"465","sulfite oxidation I (sulfite oxidoreductase)"
"466","phenol degradation I (aerobic)"
"467","trehalose biosynthesis III"
"468","conversion of succinate to propanoate"
"469","trehalose biosynthesis II"
"470","trehalose biosynthesis I"
"471","trehalose degradation III"
"472","acetyl-CoA biosynthesis III (from citrate)"
"473","reductive TCA cycle I"
"474","thiazole biosynthesis I (facultative anaerobic bacteria)"
"475","L-alanine degradation II (to D-lactate)"
"476","L-phenylalanine biosynthesis II"
"477","glutaminyl-tRNA<sup>gln</sup> biosynthesis via transamidation"
"478","unsaturated, even numbered fatty acid beta-oxidation"
"479","L-tryptophan degradation X (mammalian, via tryptamine)"
"480","pyruvate fermentation to propanoate I"
"481","L-histidine degradation II"
"482","D-galactonate degradation"
"483","molybdenum cofactor biosynthesis"
"484","UDP-N-acetyl-D-galactosamine biosynthesis I"
"485","glycerol-3-phosphate to cytochrome bo oxidase electron transfer"
"486","homogalacturonan degradation"
"487","lipoate b"
"488","L-citrulline degradation"
"489","L-alanine biosynthesis II"
"490","L-alanine degradation III"
"491","methanogenesis from acetate"
"492","L-phenylalanine degradation I (aerobic)"
"493","2-aminoethylphosphonate degradation I"
"494","catechol degradation to 2-oxopent-4-enoate I"
"495","D-arabitol degradation"
"496","L-glutamine biosynthesis III"
"497","toluene degradation to 4-methylphenol"
"498","succinate fermentation to butanoate"
"499","4-aminobutanoate degradation V"
"500","catechol degradation to 2-oxopent-4-enoate II"
"501","pseudouridine degradation"
"502","reductive monocarboxylic acid cycle"
"503","trehalose degradation II (trehalase)"
"504","hydrogen production VI"
"505","tetrathionate reduction I (to thiosulfate)"
"506","fucose degradation"
"507","allantoin degradation to ureidoglycolate II (ammonia producing)"
"508","beta-D-glucuronide and D-glucuronate degradation"
"509","xyloglucan degradation II (exoglucanase)"
"510","(R)-cysteate degradation"
"511","L-citrulline-nitric oxide cycle"
"512","fatty acid beta-oxidation (peroxisome, yeast)"
"513","coenzyme B/coenzyme M regeneration"
"514","GDP-D-perosamine biosynthesis"
"515","(R)-acetoin biosynthesis II"
"516","L-asparagine biosynthesis II"
"517","pyridoxal 5-phosphate salvage I"
"518","L-methionine biosynthesis II"
"519","trehalose biosynthesis V"
"520","phenylmercury acetate degradation"
"521","L-sorbose degradation"
"522","sucrose degradation II (sucrose synthase)"
"523","D-myo-inositol (1,4,5)-trisphosphate degradation"
"524","protocatechuate degradation II (ortho-cleavage pathway)"
"525","8-amino-7-oxononanoate biosynthesis III"
"526","L-proline biosynthesis II (from arginine)"
"527","hydrogen production I"
"528","ppGpp biosynthesis"
"529","creatinine degradation I"
"530","mannitol degradation I"
"531","inosine-5-phosphate biosynthesis I"
"532","TCA cycle III (animals)"
"533","2-aminoethylphosphonate degradation II"
