IMG_Genome_ID,Genome_Name,Lake,Taxonomy,Genome_Size,Est_Completeness,GC_Content,Amino_Acid_Usage,Gene_Count
2582580540,ME17476,Mendota,[Blank];[Blank];[Blank];;;,5340721,95.28,0.5217,1.729,4185
2582580541,ME17509,Mendota,Bacteroidetes;Sphingobacteriia;Sphingobacteriales;;;,1553935,75.73,0.4066,1.656,1538
2582580542,ME18138,Mendota,Planctomycetes;Planctomycetia;Planctomycetales;;;,2122990,53.34,0.6881,1.722,1951
2582580543,ME18233,Mendota,Bacteroidetes;Flavobacteriia;Flavobacteriales;;;,1798465,68.82,0.4138,1.626,1721
2582580544,ME01953,Mendota,Actinobacteria;Actinobacteria;Acidimicrobiales;;;,2350389,90.6,0.6731,1.657,2337
2582580545,ME19941,Mendota,[Blank];[Blank];[Blank];;;,1439254,65.34,0.5418,1.695,1419
2582580546,ME02014,Mendota,Verrucomicrobia;Opitutae;[Blank];;;,1851081,80.4,0.6573,1.718,1670
2582580547,ME20494,Mendota,Planctomycetes;Planctomycetia;Planctomycetales;;;,4364939,72.12,0.6582,1.768,3215
2582580548,ME22738,Mendota,Bacteroidetes;Sphingobacteriia;Sphingobacteriales;;;,2326823,90.52,0.4135,1.652,2084
2582580549,ME02278,Mendota,Bacteroidetes;Flavobacteriia;Flavobacteriales;;;,2610574,86.14,0.3315,1.617,2471
2582580550,ME02297,Mendota,Actinobacteria;Actinobacteria;[Blank];;;,1366118,76.72,0.4709,1.625,1385
2582580551,ME02353,Mendota,Cyanobacteria;[Blank];[Blank];;;,3350202,87.92,0.6514,1.747,3378
2582580552,ME02384,Mendota,Cyanobacteria;[Blank];[Blank];;;,4193130,81.55,0.4197,1.677,4197
2582580553,ME02538,Mendota,Actinobacteria;Actinobacteria;Actinomycetales;;;,1050638,65.74,0.4631,1.603,1014
2582580554,ME02729,Mendota,Actinobacteria;Actinobacteria;Acidimicrobiales;;;,1671027,71,0.5357,1.652,1725
2582580555,ME00283,Mendota,Actinobacteria;Actinobacteria;[Blank];;;,734855,59.7,0.3978,1.62,785
2582580556,ME28789,Mendota,Proteobacteria;Betaproteobacteria;Rhodocyclales;;;,2829293,80.42,0.6355,1.715,2933
2582580557,ME02898,Mendota,Proteobacteria;Betaproteobacteria;[Blank];;;,860016,56.27,0.4643,1.684,917
2582580558,ME02907,Mendota,Planctomycetes;Planctomycetia;Planctomycetales;;;,4006763,68.13,0.5525,1.726,3083
2582580559,ME30509,Mendota,Verrucomicrobia;[Blank];[Blank];;;,1236889,55.47,0.6251,1.735,1139
2582580560,ME03061,Mendota,Planctomycetes;Planctomycetia;Planctomycetales;;;,4808660,94.12,0.525,1.722,3762
2582580561,ME03080,Mendota,Proteobacteria;Betaproteobacteria;Methylophilales;;;,1320940,68.97,0.4975,1.653,1348
2582580562,ME30805,Mendota,[Blank];[Blank];[Blank];;;,1047154,54.86,0.3465,1.643,1165
2582580563,ME03085,Mendota,Bacteroidetes;Sphingobacteriia;Sphingobacteriales;;;,1783923,78.99,0.3108,1.641,1718
2582580564,ME03119,Mendota,Actinobacteria;Actinobacteria;[Blank];;;,1072419,71.12,0.4375,1.629,1112
2582580565,ME03163,Mendota,Actinobacteria;Actinobacteria;Acidimicrobiales;;;,1785483,73.79,0.5239,1.658,1898
2582580566,ME03293,Mendota,Proteobacteria;Gammaproteobacteria;Methylococcales;;;,2331128,77.19,0.4019,1.654,2261
2582580567,ME33807,Mendota,Cyanobacteria;[Blank];[Blank];;;,2003587,64.47,0.3955,1.681,2054
2582580568,ME34551,Mendota,Bacteroidetes;Flavobacteriia;Flavobacteriales;;;,2923340,86.01,0.4401,1.625,2531
2582580569,ME03611,Mendota,Planctomycetes;Planctomycetia;Planctomycetales;;;,3284619,51.3,0.4344,1.66,2827
2582580570,ME36464,Mendota,Proteobacteria;[Blank];[Blank];;;,1017159,74.47,0.3861,1.659,1224
2582580571,ME03713,Mendota,Bacteroidetes;Sphingobacteriia;[Blank];;;,1740562,79.38,0.4582,1.656,1551
2582580572,ME03864,Mendota,Actinobacteria;Actinobacteria;[Blank];;;,786155,55.44,0.4802,1.654,818
2582580573,ME03880,Mendota,Verrucomicrobia;Verrucomicrobiae;Verrucomicrobiales;;;,1581403,72.84,0.5814,1.724,1558
2582580575,ME04252,Mendota,Actinobacteria;Actinobacteria;[Blank];;;,1144269,69.31,0.4488,1.615,1180
2582580576,ME04498,Mendota,Cyanobacteria;[Blank];[Blank];;;,2772794,92.14,0.6405,1.737,2887
2582580577,ME04500,Mendota,Cyanobacteria;[Blank];[Blank];;;,2819350,94.63,0.6756,1.763,3018
2582580578,ME04620,Mendota,Planctomycetes;Planctomycetia;Planctomycetales;;;,4653018,85.81,0.5208,1.718,3570
2582580579,ME46339,Mendota,[Blank];[Blank];[Blank];;;,733334,80.88,0.3198,1.638,743
2582580580,ME05184,Mendota,Bacteroidetes;Flavobacteriia;Flavobacteriales;;;,1284389,60.27,0.4337,1.645,1191
2582580581,ME05338,Mendota,Proteobacteria;Alphaproteobacteria;Sphingomonadales;;;,1691699,67.67,0.558,1.673,1805
2582580582,ME05344,Mendota,Bacteroidetes;[Blank];[Blank];;;,1533163,81.61,0.5314,1.738,1417
2582580583,ME05466,Mendota,Bacteroidetes;Sphingobacteriia;[Blank];;;,2085652,77.23,0.4319,1.654,1888
2582580584,ME00548,Mendota,Cyanobacteria;[Blank];[Blank];;;,4099996,83.22,0.3805,1.669,3951
2582580585,ME05493,Mendota,Bacteroidetes;Sphingobacteriia;Sphingobacteriales;;;,2257317,60.66,0.3704,1.634,1989
2582580586,ME05513,Mendota,Bacteroidetes;[Blank];[Blank];;;,2170171,66.79,0.3358,1.619,2128
2582580587,ME05895,Mendota,Bacteroidetes;Sphingobacteriia;Sphingobacteriales;;;,1297462,53.36,0.3307,1.628,1327
2582580588,ME05983,Mendota,Bacteroidetes;Sphingobacteriia;Sphingobacteriales;;;,2908334,88.48,0.404,1.667,2619
2582580589,ME05999,Mendota,Bacteroidetes;Sphingobacteriia;Sphingobacteriales;;;,2930247,90.14,0.4183,1.657,2632
2582580590,ME06031,Mendota,Bacteroidetes;Sphingobacteriia;Sphingobacteriales;;;,1331396,50.25,0.3119,1.621,1365
2582580591,ME06097,Mendota,Cyanobacteria;[Blank];[Blank];;;,1913277,84.53,0.3583,1.645,1782
2582580592,ME06180,Mendota,Bacteroidetes;Flavobacteriia;Flavobacteriales;;;,2716659,95.87,0.3356,1.616,2551
2582580593,ME06381,Mendota,Verrucomicrobia;Verrucomicrobiae;Verrucomicrobiales;;;,2354802,64.57,0.5673,1.72,2193
2582580594,ME06450,Mendota,Chlamydiae;Chlamydiia;Chlamydiales;;;,2759591,88.26,0.4049,1.685,2534
2582580595,ME06647,Mendota,Actinobacteria;Actinobacteria;Actinomycetales;;;,906713,58.68,0.4396,1.624,960
2582580596,ME06777,Mendota,Bacteroidetes;Sphingobacteriia;Sphingobacteriales;;;,2325963,87.65,0.3567,1.635,2054
2582580597,ME06778,Mendota,Bacteroidetes;Flavobacteriia;Flavobacteriales;;;,1868933,65.14,0.4031,1.642,1853
2582580598,ME00068,Mendota,Proteobacteria;Betaproteobacteria;Methylophilales;;;,593228,50.67,0.3689,1.658,705
2582580599,ME06813,Mendota,Bacteroidetes;[Blank];[Blank];;;,3400639,89.34,0.34,1.625,2971
2582580600,ME07043,Mendota,Proteobacteria;Betaproteobacteria;Burkholderiales;;;,2550905,88.2,0.6564,1.747,2430
2582580601,ME07198,Mendota,Bacteroidetes;Sphingobacteriia;Sphingobacteriales;;;,2736634,74.87,0.4694,1.667,2686
2582580602,ME07257,Mendota,Bacteroidetes;Flavobacteriia;Flavobacteriales;;;,1284442,58.88,0.3931,1.642,1346
2582580603,ME07484,Mendota,Bacteroidetes;Cytophagia;Cytophagales;;;,3659184,87.49,0.4175,1.656,3615
2582580605,ME07690,Mendota,Bacteroidetes;Sphingobacteriia;Sphingobacteriales;;;,1813804,86.27,0.4848,1.678,1651
2582580606,ME07803,Mendota,Planctomycetes;Planctomycetia;Planctomycetales;;;,2973502,80.4,0.7067,1.747,2596
2582580607,ME08366,Mendota,Verrucomicrobia;Spartobacteria;[Blank];;;,3551150,84.72,0.633,1.73,3410
2582580608,ME00885,Mendota,Actinobacteria;Actinobacteria;[Blank];;;,866493,61.64,0.4425,1.634,886
2582580609,ME09104,Mendota,Proteobacteria;Gammaproteobacteria;Xanthomonadales;;;,2143680,84.6,0.5988,1.745,2069
2582580610,ME09147,Mendota,Bacteroidetes;Sphingobacteriia;Sphingobacteriales;;;,2074546,89.62,0.3646,1.635,1856
2582580611,ME09166,Mendota,Planctomycetes;Planctomycetia;Planctomycetales;;;,5467700,98.7,0.5797,1.758,3984
2582580612,ME09351,Mendota,Tenericutes;[Blank];[Blank];;;,799895,68.12,0.3755,1.628,810
2582580613,ME09495,Mendota,Bacteroidetes;[Blank];[Blank];;;,2153459,79.94,0.3687,1.636,1913
2582580614,ME09830,Mendota,Bacteroidetes;Sphingobacteriia;Sphingobacteriales;;;,2317383,91.47,0.3812,1.64,2111
2582580615,TE01149,Trout Bog Epilimnion,Proteobacteria;Gammaproteobacteria;Methylococcales;;;,2573146,74.56,0.3978,1.651,2391
2582580616,TE01301,Trout Bog Epilimnion,Verrucomicrobia;Opitutae;[Blank];;;,2036179,95.3,0.5449,1.71,1896
2582580617,TE00149,Trout Bog Epilimnion,Actinobacteria;[Blank];[Blank];;;,764032,64.1,0.5501,1.649,895
2582580620,TE02093,Trout Bog Epilimnion,Proteobacteria;Betaproteobacteria;Burkholderiales;;;,1458458,66.38,0.45,1.657,1490
2582580621,TE02094,Trout Bog Epilimnion,Proteobacteria;Betaproteobacteria;Burkholderiales;;;,2210814,78.62,0.4428,1.652,2215
2582580622,TE00211,Trout Bog Epilimnion,Chlorobi;Chlorobia;Chlorobiales;;;,2469065,93.99,0.4592,1.669,2365
2582580623,TE02167,Trout Bog Epilimnion,Proteobacteria;Betaproteobacteria;Methylophilales;;;,1423270,87.89,0.4257,1.652,1439
2582580624,TE02443,Trout Bog Epilimnion,Proteobacteria;Deltaproteobacteria;Bdellovibrionales;;;,1640808,75.17,0.4029,1.709,1434
2582580625,TE02493,Trout Bog Epilimnion,Chlorobi;Chlorobia;Chlorobiales;;;,2371355,89.07,0.4582,1.672,2357
2582580627,TE02754,Trout Bog Epilimnion,Actinobacteria;Actinobacteria;[Blank];;;,1361355,82.27,0.5018,1.626,1398
2582580628,TE02973,Trout Bog Epilimnion,Actinobacteria;Actinobacteria;Acidimicrobiales;;;,1010358,72.41,0.4965,1.641,1052
2582580629,TE03083,Trout Bog Epilimnion,Proteobacteria;Alphaproteobacteria;Rickettsiales;;;,1401432,99.06,0.3368,1.63,1352
2582580630,TE03207,Trout Bog Epilimnion,Actinobacteria;Actinobacteria;[Blank];;;,1245790,75.56,0.4733,1.631,1301
2582580631,TE03256,Trout Bog Epilimnion,Actinobacteria;Actinobacteria;Acidimicrobiales;;;,1750488,85.78,0.6435,1.635,1846
2582580632,TE03475,Trout Bog Epilimnion,Actinobacteria;Actinobacteria;[Blank];;;,949240,69.46,0.5055,1.636,1005
2582580633,TE03838,Trout Bog Epilimnion,Proteobacteria;Betaproteobacteria;Burkholderiales;;;,1727630,62.07,0.4474,1.649,1845
2582580634,TE04163,Trout Bog Epilimnion,Actinobacteria;Actinobacteria;Acidimicrobiales;;;,1267473,69.62,0.5637,1.632,1368
2582580635,TE04208,Trout Bog Epilimnion,Actinobacteria;Actinobacteria;[Blank];;;,992136,68.53,0.4587,1.622,1046
2582580637,TE04548,Trout Bog Epilimnion,Proteobacteria;Betaproteobacteria;Burkholderiales;;;,2999617,76,0.6273,1.691,3084
2582580638,TE04605,Trout Bog Epilimnion,Verrucomicrobia;Verrucomicrobiae;Verrucomicrobiales;;;,4671051,92.3,0.5924,1.704,4345
2582580639,TE05136,Trout Bog Epilimnion,Proteobacteria;Gammaproteobacteria;Methylococcales;;;,2778362,91.73,0.4124,1.651,2620
2582580640,TE05144,Trout Bog Epilimnion,Bacteroidetes;Sphingobacteriia;Sphingobacteriales;;;,1999931,91.34,0.3472,1.619,1846
2582580641,TE05243,Trout Bog Epilimnion,Acidobacteria;Solibacteres;Solibacterales;;;,2517309,65.82,0.6258,1.692,2500
2582580642,TE00567,Trout Bog Epilimnion,Proteobacteria;Betaproteobacteria;Burkholderiales;;;,1660228,71.9,0.4584,1.65,1742
2582580643,TE05716,Trout Bog Epilimnion,Bacteroidetes;Sphingobacteriia;Sphingobacteriales;;;,1575342,62.83,0.3443,1.621,1539
2582580644,TE00755,Trout Bog Epilimnion,Proteobacteria;Alphaproteobacteria;Rickettsiales;;;,1521491,98.58,0.3495,1.635,1460
2582580646,TE08031,Trout Bog Epilimnion,Proteobacteria;Gammaproteobacteria;Methylococcales;;;,1642485,72.81,0.3878,1.67,1648
2582580647,TE08052,Trout Bog Epilimnion,Bacteroidetes;Sphingobacteriia;Sphingobacteriales;;;,2139573,81.49,0.3821,1.645,2169
2582580648,TE00911,Trout Bog Epilimnion,Acidobacteria;Holophagae;Holophagales;;;,3001284,95.72,0.6737,1.721,2829
2582580649,TE00913,Trout Bog Epilimnion,Proteobacteria;Betaproteobacteria;Methylophilales;;;,942700,76.06,0.3643,1.661,1077
2582580650,TE09727,Trout Bog Epilimnion,Proteobacteria;Alphaproteobacteria;[Blank];;;,899066,82.58,0.2893,1.664,1009
2582580651,TH00111,Trout Bog Hypolimnion,Chlorobi;Chlorobia;Chlorobiales;;;,2314202,91.75,0.4616,1.665,2269
2582580652,TH01225,Trout Bog Hypolimnion,[Blank];[Blank];[Blank];;;,915278,63.39,0.4063,1.647,944
2582580653,TH01542,Trout Bog Hypolimnion,Proteobacteria;Betaproteobacteria;Burkholderiales;;;,3722418,95.19,0.6254,1.691,3498
2582580654,TH01998,Trout Bog Hypolimnion,Proteobacteria;Epsilonproteobacteria;Campylobacterales;;;,2301184,98.33,0.3651,1.612,2337
2582580657,TH02152,Trout Bog Hypolimnion,Actinobacteria;Actinobacteria;[Blank];;;,845311,61.59,0.464,1.63,952
2582580658,TH02159,Trout Bog Hypolimnion,Proteobacteria;Betaproteobacteria;Burkholderiales;;;,3815911,92.49,0.6112,1.677,3672
2582580659,TH02160,Trout Bog Hypolimnion,Proteobacteria;Betaproteobacteria;Burkholderiales;;;,3407684,65.67,0.6208,1.672,3377
2582580662,TH00254,Trout Bog Hypolimnion,Acidobacteria;Holophagae;Holophagales;;;,2981798,80.22,0.6746,1.721,2814
2582580663,TH02565,Trout Bog Hypolimnion,[Blank];[Blank];[Blank];;;,843861,65.35,0.3814,1.623,864
2582580664,TH02746,Trout Bog Hypolimnion,Verrucomicrobia;Verrucomicrobiae;Verrucomicrobiales;;;,6521824,75.65,0.6206,1.678,5372
2582580665,TH02747,Trout Bog Hypolimnion,Verrucomicrobia;Verrucomicrobiae;Verrucomicrobiales;;;,5159489,92.82,0.5832,1.693,4793
2582580668,TH03004,Trout Bog Hypolimnion,Verrucomicrobia;Verrucomicrobiae;Verrucomicrobiales;;;,4497082,93.29,0.5683,1.68,3743
2582580669,TH03063,Trout Bog Hypolimnion,Bacteroidetes;Sphingobacteriia;Sphingobacteriales;;;,3174086,89.94,0.348,1.635,3142
2582580670,TH03180,Trout Bog Hypolimnion,Actinobacteria;[Blank];[Blank];;;,1149636,67.24,0.4956,1.642,1217
2582580671,TH03219,Trout Bog Hypolimnion,Actinobacteria;Actinobacteria;Acidimicrobiales;;;,1170081,80.73,0.5473,1.646,1270
2582580672,TH03273,Trout Bog Hypolimnion,Acidobacteria;Holophagae;Holophagales;;;,3335528,81.74,0.6606,1.703,3116
2582580673,TH03311,Trout Bog Hypolimnion,Bacteroidetes;Bacteroidia;Bacteroidales;;;,3778915,97.86,0.4703,1.647,3165
2582580674,TH03415,Trout Bog Hypolimnion,Proteobacteria;Betaproteobacteria;Gallionellales;;;,2657023,97.16,0.5185,1.685,2581
2582580675,TH03463,Trout Bog Hypolimnion,Actinobacteria;Actinobacteria;[Blank];;;,1214182,76.77,0.4736,1.634,1280
2582580677,TH03552,Trout Bog Hypolimnion,Proteobacteria;Gammaproteobacteria;Methylococcales;;;,2227372,97.22,0.3986,1.645,2192
2582580679,TH03772,Trout Bog Hypolimnion,[Blank];[Blank];[Blank];;;,823317,79.81,0.3552,1.621,820
2582580680,TH03815,Trout Bog Hypolimnion,Actinobacteria;Actinobacteria;Solirubrobacterales;;;,2533346,75.14,0.6938,1.668,2677
2582580682,TH04093,Trout Bog Hypolimnion,Verrucomicrobia;Verrucomicrobiae;Verrucomicrobiales;;;,4730745,81.28,0.4777,1.661,3938
2582580683,TH04247,Trout Bog Hypolimnion,Proteobacteria;Alphaproteobacteria;Rickettsiales;;;,1544655,98.58,0.3493,1.636,1486
2582580684,TH00433,Trout Bog Hypolimnion,Proteobacteria;Deltaproteobacteria;Desulfobacterales;;;,3073408,77.19,0.5301,1.68,2823
2582580685,TH04436,Trout Bog Hypolimnion,Bacteroidetes;Sphingobacteriia;Sphingobacteriales;;;,3044346,94.87,0.367,1.636,2773
2582580686,TH04491,Trout Bog Hypolimnion,Proteobacteria;Gammaproteobacteria;Legionellales;;;,1738602,81.79,0.3711,1.666,1599
2582580687,TH04565,Trout Bog Hypolimnion,Acidobacteria;Holophagae;Holophagales;;;,3680673,79.39,0.6892,1.709,3551
2582580688,TH04590,Trout Bog Hypolimnion,Verrucomicrobia;Opitutae;[Blank];;;,3289830,88.67,0.6535,1.717,3088
2582580689,TH04645,Trout Bog Hypolimnion,Proteobacteria;Deltaproteobacteria;Desulfuromonadales;;;,5793761,88.42,0.6115,1.664,5076
2582580690,TH04697,Trout Bog Hypolimnion,Bacteroidetes;Flavobacteriia;Flavobacteriales;;;,2035176,63.93,0.3201,1.622,2183
2582580691,TH04820,Trout Bog Hypolimnion,Verrucomicrobia;Verrucomicrobiae;Verrucomicrobiales;;;,2963500,57.26,0.6267,1.727,2765
2582580692,TH04848,Trout Bog Hypolimnion,Bacteroidetes;Bacteroidia;Bacteroidales;;;,2833050,61.78,0.36,1.635,2691
2582580693,TH04964,Trout Bog Hypolimnion,Proteobacteria;[Blank];[Blank];;;,819508,60.66,0.469,1.626,840
2582580694,TH05247,Trout Bog Hypolimnion,Bacteroidetes;Flavobacteriia;Flavobacteriales;;;,2536172,63.95,0.4501,1.614,2055
2582580695,TH05354,Trout Bog Hypolimnion,Ignavibacteria;[Blank];[Blank];;;,4310034,96.94,0.3531,1.619,3689
2582580697,TH05629,Trout Bog Hypolimnion,Ignavibacteria;Ignavibacteria;Ignavibacteriales;;;,4397594,97.22,0.3637,1.612,3702
2582580698,TH05702,Trout Bog Hypolimnion,Proteobacteria;Alphaproteobacteria;Rickettsiales;;;,1348795,95.28,0.3355,1.629,1280
2582580699,TH05737,Trout Bog Hypolimnion,Proteobacteria;Deltaproteobacteria;Bdellovibrionales;;;,1679340,81.36,0.4041,1.71,1472
2582580700,TH05891,Trout Bog Hypolimnion,Proteobacteria;Betaproteobacteria;Burkholderiales;;;,3181706,91.23,0.5419,1.67,3041
2582580701,TH06070,Trout Bog Hypolimnion,Proteobacteria;Gammaproteobacteria;Pseudomonadales;;;,878995,79.65,0.3349,1.642,922
2582580702,TH06286,Trout Bog Hypolimnion,Bacteroidetes;Bacteroidia;Bacteroidales;;;,5154715,90.91,0.3985,1.64,4340
2582580703,TH06717,Trout Bog Hypolimnion,Proteobacteria;Alphaproteobacteria;Rhizobiales;;;,1942197,83.49,0.6213,1.672,2168
2582580705,TH00680,Trout Bog Hypolimnion,Actinobacteria;Actinobacteria;[Blank];;;,1257796,72.7,0.5012,1.626,1309
2582580706,TH07795,Trout Bog Hypolimnion,[Blank];[Blank];[Blank];;;,819610,72.22,0.4555,1.662,844
2582580708,TH07934,Trout Bog Hypolimnion,Bacteroidetes;Bacteroidia;Bacteroidales;;;,2314650,64.1,0.3646,1.638,2224
2582580711,TH00944,Trout Bog Hypolimnion,Proteobacteria;Betaproteobacteria;Burkholderiales;;;,1737056,69.83,0.4607,1.652,1902
2582580712,TH00953,Trout Bog Hypolimnion,Proteobacteria;Betaproteobacteria;Methylophilales;;;,1556854,93.3,0.4214,1.663,1569
2593339176,TH00545v2,Trout Bog Hypolimnion,Proteobacteria;Betaproteobacteria;Methylophilales;;;,1431993,89.68,0.4261,1.651,1411
2593339177,TH00941v2,Trout Bog Hypolimnion,Proteobacteria;Betaproteobacteria;Burkholderiales;;;,1496525,57.24,0.4483,1.654,1553
2593339178,TH02062v2,Trout Bog Hypolimnion,Proteobacteria;Gammaproteobacteria;Methylococcales;;;,3124798,94.05,0.3969,1.653,2879
2593339179,TH02086v2,Trout Bog Hypolimnion,Bacteroidetes;Bacteroidia;Bacteroidales;;;,3680027,72.41,0.4338,1.644,2932
2593339181,TH02519v2,Trout Bog Hypolimnion,Verrucomicrobia;Opitutae;[Blank];;;,1808963,71.73,0.4182,1.66,1623
2593339182,TH02902v2,Trout Bog Hypolimnion,Proteobacteria;Betaproteobacteria;Methylophilales;;;,1002927,62.07,0.3629,1.66,1146
2593339183,TH02922v2,Trout Bog Hypolimnion,Proteobacteria;Deltaproteobacteria;Desulfobacterales;;;,3798404,93.36,0.5232,1.681,3338
2593339184,TH03520v2,Trout Bog Hypolimnion,Chlorobi;Chlorobia;Chlorobiales;;;,2156671,89.34,0.4586,1.666,2194
2593339185,TH03765v2,Trout Bog Hypolimnion,Actinobacteria;Actinobacteria;Acidimicrobiales;;;,1315659,76.07,0.5637,1.637,1353
2593339187,TE00439v2,Trout Bog Hypolimnion,Proteobacteria;Betaproteobacteria;Nitrosomonadales;;;,996711,67.67,0.528,1.699,1072
2593339188,TE00788v2,Trout Bog Hypolimnion,Proteobacteria;Betaproteobacteria;[Blank];;;,990006,56.9,0.4727,1.664,1104
2593339189,TE01800v2,Trout Bog Hypolimnion,Verrucomicrobia;Opitutae;[Blank];;;,2186907,89.53,0.419,1.657,1957
2593339190,TE02057v2,Trout Bog Hypolimnion,Actinobacteria;Actinobacteria;[Blank];;;,971617,74.31,0.4987,1.633,1030
2593339191,TH01380,Trout Bog Hypolimnion,Proteobacteria;Gammaproteobacteria;Methylococcales;;;,2299825,69.3,0.4143,1.65,2043
2593339192,TH01381,Trout Bog Hypolimnion,Proteobacteria;Betaproteobacteria;Methylophilales;;;,1077715,50,0.4329,1.653,1104
